OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1								0.00	82	4	1	95.12	75.00	190.87	36.07	0
OTU2	Arthropoda	Insecta	Hemiptera	Cicadidae				94.05	59	5	5	91.53	0.00	457.85	32.57	0
OTU3								0.00	50	2	1	96.00	50.00	109.9	41.86	0
OTU4	Arthropoda	Insecta	Diptera					96.25	32	1	1	96.88	0.00	458	39.52	0
OTU5								0.00	29	2	1	93.10	50.00	131	27.35	0
OTU6								0.00	16	2	1	87.50	50.00	108.69	41.4	0
OTU7	Arthropoda	Insecta	Hemiptera	Rhyparochromidae				93.17	12	2	2	83.33	0.00	457.5	40.44	0
OTU8								0.00	11	2	1	81.82	50.00	190.55	36.74	0
OTU9								0.00	11	1	1	90.91	0.00	137	37.96	0
OTU10								0.00	10	1	1	90.00	0.00	458	33.62	0
OTU11								0.00	10	1	1	90.00	0.00	139	37.41	0
OTU12								0.00	10	2	1	80.00	50.00	457.5	31.91	0
OTU13								0.00	9	1	1	88.89	0.00	113	40.71	0
OTU14	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Bulia	Bulia sp.	92.23	8	1	1	87.50	0.00	103	27.18	0
OTU15	Arthropoda	Insecta	Lepidoptera					95.15	7	1	1	85.71	0.00	103	29.13	0
OTU16	Arthropoda	Insecta	Hemiptera	Pentatomidae	Edessinae	Edessa	Edessa sp7	94.75	6	1	1	83.33	0.00	458	32.53	0
OTU17	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	5	1	1	80.00	0.00	459	30.28	0
OTU18								0.00	5	1	1	80.00	0.00	140	36.43	0
OTU19								0.00	5	1	1	80.00	0.00	458	30.57	0
