OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Ostha	Ostha Janzen249	90.77	67	4	3	94.03	25.00	456.69	35.09	0
OTU2								0.00	51	2	1	96.08	50.00	191.1	36.16	0
OTU3								0.00	37	1	1	97.30	0.00	107	27.1	0
OTU4	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	29	4	4	86.21	0.00	458.83	30.29	0
OTU5	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Stenoma	Stenoma sp.	96.93	21	2	2	90.48	0.00	457.76	30.58	0
OTU6								0.00	19	1	1	94.74	0.00	105	25.71	0
OTU7								0.00	17	2	1	88.24	50.00	120	24.17	0
OTU8								0.00	8	1	1	87.50	0.00	119	31.09	0
OTU9	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Antaeotricha		97.59	8	1	1	87.50	0.00	458	32.1	0
OTU10								0.00	6	1	1	83.33	0.00	131	27.48	0
OTU11								0.00	6	1	1	83.33	0.00	151	28.48	0
OTU12	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Episcepsis	Episcepsis venata	90.37	6	1	1	83.33	0.00	458	29.91	0
OTU13	Arthropoda	Insecta	Lepidoptera	Depressariidae				94.96	6	1	1	83.33	0.00	458	34.5	0
OTU14	Arthropoda	Insecta	Lepidoptera	Erebidae	Eulepidotinae	Antiblemma	Antiblemma Poole41	95.62	5	1	1	80.00	0.00	458	35.15	0
OTU15								0.00	5	1	1	80.00	0.00	191	36.13	0
OTU16	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Antaeotricha	Antaeotricha Janzen245	94.08	5	1	1	80.00	0.00	457	31.95	0
OTU17								0.00	5	1	1	80.00	0.00	458	33.62	0
