OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Hemiptera	Fulgoridae		Pterodictya	Pterodictya reticularis	91.85	307	10	10	96.74	0.00	457.53	33.43	0
OTU2								0.00	69	2	1	97.10	50.00	106.86	27.14	0
OTU3								0.00	47	2	1	95.74	50.00	106.89	29.94	0
OTU4								0.00	43	2	1	95.35	50.00	106.81	31.83	0
OTU6	Arthropoda	Insecta	Orthoptera					90.81	27	4	2	85.19	50.00	458.78	35.09	0
OTU5								0.00	27	1	1	96.30	0.00	122	29.51	0
OTU8								0.00	16	1	1	93.75	0.00	128	29.69	0
OTU7	Arthropoda	Insecta	Diptera					96.25	16	1	1	93.75	0.00	458	39.52	0
OTU9								0.00	15	1	1	93.33	0.00	458	32.97	0
OTU10								0.00	15	1	1	93.33	0.00	128	28.91	0
OTU14	Arthropoda	Insecta	Lepidoptera	Erebidae	Lymantriinae	Desmoloma	Desmoloma sp. PL1	92.76	12	2	2	83.33	0.00	457.58	29.94	0
OTU11	Arthropoda	Insecta	Coleoptera	Curculionidae	Platypodinae	Euplatypus	Euplatypus sp. 5YB	96.19	12	1	1	91.67	0.00	136	34.56	0
OTU12	Arthropoda	Insecta	Lepidoptera	Erebidae	Catocalinae	Dialithis	Dialithis gemmifera	91.08	12	1	1	91.67	0.00	157	32.48	0
OTU13								0.00	12	2	1	83.33	50.00	458	30.75	0
OTU15								0.00	11	1	1	90.91	0.00	122	27.87	0
OTU16								0.00	11	1	1	90.91	0.00	156	32.69	0
OTU17	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep788	97.15	8	1	1	87.50	0.00	458	32.75	0
OTU18	Arthropoda	Insecta	Lepidoptera	Noctuidae	Noctuinae	Marilopteryx	Marilopteryx Malaise8733	92.45	8	1	1	87.50	0.00	107	28.97	0
OTU19								0.00	8	1	1	87.50	0.00	458	37.12	0
